

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
                   owner/rebuys/vendor_4:   89.13 (mean),   87.00 (median),   20.73 (std),   29.00 (min),  161.00 (max)
                        owner/throw_away:    4.36 (mean),    4.00 (median),    2.37 (std),    0.00 (min),   16.00 (max)
                    profits/all/vendor_0: -111.05 (mean),  -60.33 (median),  171.97 (std), -1126.96 (min),   82.73 (max)
                    profits/all/vendor_1:   74.41 (mean),   82.72 (median),   51.43 (std), -394.57 (min),  155.23 (max)
                    profits/all/vendor_2:  -38.63 (mean),  -12.95 (median),   78.34 (std), -375.60 (min),   79.30 (max)
                    profits/all/vendor_3: -546.31 (mean), -568.80 (median),  175.57 (std), -885.60 (min),   34.40 (max)
                    profits/all/vendor_4:  -33.19 (mean),  -14.55 (median),   78.34 (std), -472.50 (min),   95.50 (max)
         profits/by_selling_new/vendor_0:  -48.71 (mean),    0.38 (median),  158.38 (std), -776.59 (min),  132.11 (max)
         profits/by_selling_new/vendor_1:  113.96 (mean),  115.00 (median),   15.06 (std),   61.00 (min),  151.00 (max)
         profits/by_selling_new/vendor_2:   14.75 (mean),   10.00 (median),   14.74 (std),    0.00 (min),   78.00 (max)
         profits/by_selling_new/vendor_3:  139.16 (mean),  139.00 (median),   24.99 (std),   52.00 (min),  216.00 (max)
         profits/by_selling_new/vendor_4:  116.20 (mean),  116.95 (median),   16.56 (std),   56.00 (min),  165.15 (max)
 profits/by_selling_refurbished/vendor_0:  151.07 (mean),  168.77 (median),   74.40 (std), -382.12 (min),  230.71 (max)
 profits/by_selling_refurbished/vendor_1:  163.25 (mean),  176.04 (median),   56.01 (std), -338.47 (min),  235.09 (max)
 profits/by_selling_refurbished/vendor_2:  155.77 (mean),  158.00 (median),   24.18 (std),   72.00 (min),  218.00 (max)
 profits/by_selling_refurbished/vendor_3:  131.07 (mean),  132.00 (median),   27.82 (std),  -52.00 (min),  210.00 (max)
 profits/by_selling_refurbished/vendor_4:  129.09 (mean),  148.00 (median),   65.26 (std), -241.00 (min),  213.00 (max)
             profits/rebuy_cost/vendor_0:  -60.58 (mean),  -56.85 (median),   28.98 (std), -147.48 (min),  -11.15 (max)
             profits/rebuy_cost/vendor_1: -126.86 (mean), -124.88 (median),   41.11 (std), -228.00 (min),  -17.74 (max)
             profits/rebuy_cost/vendor_2:  -49.18 (mean),  -44.00 (median),   45.21 (std), -215.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -385.15 (mean), -383.00 (median),  112.97 (std), -661.00 (min), -158.00 (max)
             profits/rebuy_cost/vendor_4: -198.68 (mean), -195.00 (median),   59.82 (std), -413.94 (min),  -43.00 (max)
           profits/storage_cost/vendor_0: -152.83 (mean), -135.70 (median),   92.84 (std), -428.60 (min),  -15.20 (max)
           profits/storage_cost/vendor_1:  -75.94 (mean),  -60.65 (median),   46.85 (std), -247.40 (min),  -16.00 (max)
           profits/storage_cost/vendor_2: -159.97 (mean), -122.10 (median),   99.69 (std), -465.60 (min),  -51.20 (max)
           profits/storage_cost/vendor_3: -431.39 (mean), -463.00 (median),   81.13 (std), -499.70 (min), -127.80 (max)
           profits/storage_cost/vendor_4:  -79.80 (mean),  -67.75 (median),   41.33 (std), -217.10 (min),  -31.90 (max)
                    state/in_circulation:  247.68 (mean),  241.66 (median),   57.74 (std),  144.16 (min),  347.08 (max)
               state/in_storage/vendor_0:   31.23 (mean),   27.67 (median),   18.86 (std),    2.98 (min),   86.44 (max)
               state/in_storage/vendor_1:   16.07 (mean),   13.05 (median),    9.88 (std),    3.32 (min),   51.32 (max)
               state/in_storage/vendor_2:   32.57 (mean),   24.98 (median),   20.26 (std),   10.00 (min),   93.48 (max)
               state/in_storage/vendor_3:   85.28 (mean),   91.48 (median),   16.55 (std),   24.44 (min),   99.86 (max)
               state/in_storage/vendor_4:   16.81 (mean),   14.35 (median),    8.79 (std),    6.48 (min),   45.22 (max)

Statistics for episode 5038
                                a/reward:  138.71 (mean),  155.97 (median),   83.18 (std), -487.55 (min),  256.19 (max)
              actions/price_new/vendor_0:    4.28 (mean),    4.35 (median),    0.34 (std),    2.89 (min),    4.78 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.00 (max)
              actions/price_new/vendor_2:    8.51 (mean),    8.52 (median),    0.29 (std),    7.74 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.21 (mean),    4.22 (median),    0.08 (std),    4.01 (min),    4.40 (max)
            actions/price_rebuy/vendor_0:    0.40 (mean),    0.38 (median),    0.23 (std),    0.03 (min),    1.15 (max)
            actions/price_rebuy/vendor_1:    1.06 (mean),    1.05 (median),    0.26 (std),    0.42 (min),    1.81 (max)
            actions/price_rebuy/vendor_2:    0.48 (mean),    0.44 (median),    0.37 (std),    0.02 (min),    1.86 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.78 (mean),    0.78 (median),    0.25 (std),    0.21 (min),    1.55 (max)
      actions/price_refurbished/vendor_0:    2.60 (mean),    2.61 (median),    0.31 (std),    1.87 (min),    3.30 (max)
      actions/price_refurbished/vendor_1:    2.04 (mean),    2.03 (median),    0.25 (std),    1.49 (min),    2.92 (max)
      actions/price_refurbished/vendor_2:    2.48 (mean),    2.44 (median),    0.36 (std),    2.02 (min),    3.68 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.23 (mean),    3.22 (median),    0.59 (std),    2.00 (min),    5.36 (max)
                    customer/buy_nothing:   53.34 (mean),   53.00 (median),    7.78 (std),   34.00 (min),   80.00 (max)
         customer/purchases_new/vendor_0:  131.50 (mean),  126.00 (median),   29.82 (std),   76.00 (min),  300.00 (max)
         customer/purchases_new/vendor_1:  140.35 (mean),  141.00 (median),   13.39 (std),  109.00 (min),  183.00 (max)
         customer/purchases_new/vendor_2:    6.86 (mean),    6.00 (median),    4.82 (std),    0.00 (min),   24.00 (max)
         customer/purchases_new/vendor_3:   58.56 (mean),   58.00 (median),    8.09 (std),   36.00 (min),   86.00 (max)
