

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
                    profits/all/vendor_0:  221.54 (mean),  233.64 (median),   66.44 (std), -166.81 (min),  362.25 (max)
                    profits/all/vendor_1:  104.93 (mean),  119.23 (median),   64.14 (std), -348.63 (min),  218.65 (max)
                    profits/all/vendor_2:   -0.34 (mean),   11.70 (median),   54.01 (std), -252.40 (min),   92.50 (max)
                    profits/all/vendor_3: -401.91 (mean), -432.20 (median),  215.90 (std), -851.20 (min),  146.60 (max)
                    profits/all/vendor_4:   33.79 (mean),   45.18 (median),   79.90 (std), -373.12 (min),  206.90 (max)
         profits/by_selling_new/vendor_0:  184.32 (mean),  184.71 (median),   24.40 (std),   79.65 (min),  259.59 (max)
         profits/by_selling_new/vendor_1:  149.68 (mean),  150.00 (median),   14.61 (std),  116.76 (min),  195.00 (max)
         profits/by_selling_new/vendor_2:   28.89 (mean),   27.00 (median),   21.98 (std),    0.00 (min),  115.00 (max)
         profits/by_selling_new/vendor_3:  184.08 (mean),  182.00 (median),   24.90 (std),  122.00 (min),  259.00 (max)
         profits/by_selling_new/vendor_4:  178.71 (mean),  177.65 (median),   19.27 (std),  122.61 (min),  246.11 (max)
 profits/by_selling_refurbished/vendor_0:  163.26 (mean),  173.66 (median),   59.59 (std), -241.50 (min),  271.89 (max)
 profits/by_selling_refurbished/vendor_1:  167.64 (mean),  188.30 (median),   72.19 (std), -349.18 (min),  267.25 (max)
 profits/by_selling_refurbished/vendor_2:  191.83 (mean),  194.00 (median),   24.95 (std),  118.00 (min),  255.00 (max)
 profits/by_selling_refurbished/vendor_3:  172.42 (mean),  174.00 (median),   36.95 (std), -177.00 (min),  246.00 (max)
 profits/by_selling_refurbished/vendor_4:  168.35 (mean),  180.00 (median),   47.61 (std),  -75.00 (min),  251.00 (max)
             profits/rebuy_cost/vendor_0:  -18.18 (mean),  -17.04 (median),   12.80 (std),  -67.04 (min),    0.00 (max)
             profits/rebuy_cost/vendor_1: -142.61 (mean), -139.62 (median),   40.35 (std), -257.00 (min),  -51.00 (max)
             profits/rebuy_cost/vendor_2:  -73.50 (mean),  -74.50 (median),   51.31 (std), -226.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -353.00 (mean), -344.00 (median),  118.31 (std), -636.00 (min), -148.00 (max)
             profits/rebuy_cost/vendor_4: -236.22 (mean), -231.95 (median),   75.48 (std), -528.63 (min),  -33.73 (max)
           profits/storage_cost/vendor_0: -107.87 (mean),  -89.30 (median),   68.62 (std), -359.80 (min),   -9.80 (max)
           profits/storage_cost/vendor_1:  -69.78 (mean),  -56.10 (median),   42.70 (std), -208.30 (min),  -14.90 (max)
           profits/storage_cost/vendor_2: -147.55 (mean), -118.05 (median),   84.24 (std), -420.40 (min),  -49.80 (max)
           profits/storage_cost/vendor_3: -405.41 (mean), -456.15 (median),  113.00 (std), -499.10 (min),  -45.30 (max)
           profits/storage_cost/vendor_4:  -77.04 (mean),  -65.85 (median),   38.64 (std), -212.50 (min),  -27.70 (max)
                    state/in_circulation:  232.64 (mean),  212.70 (median),   58.62 (std),  132.74 (min),  343.44 (max)
               state/in_storage/vendor_0:   22.38 (mean),   18.76 (median),   14.13 (std),    1.96 (min),   73.34 (max)
               state/in_storage/vendor_1:   14.86 (mean),   12.21 (median),    9.08 (std),    3.08 (min),   43.32 (max)
               state/in_storage/vendor_2:   30.25 (mean),   24.42 (median),   17.33 (std),    9.74 (min),   84.92 (max)
               state/in_storage/vendor_3:   80.15 (mean),   89.64 (median),   22.74 (std),    8.34 (min),   99.74 (max)
